News_Source,Bias,Reporting,Country,Credibility,Media_Type,Traffic,Popularity_Estimate,link
100 Mile Free Press,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/100-mile-free-press-bias/
100% Fed up,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/100-percent-fed-up/
KOLN\KGIN - Lincoln News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kolnkgin-lincoln-news-bias/
KNPL - North Platte News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/knpl-north-platte-news-bias/
WBNS-TV (10tv.com),Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/wbns-tv-10tv-com/
WXIA - 11alive.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wxia-11alive-com/
12minutos.com,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/12minutos-com/
12 News KPNX,Least Biased,High,United States,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/12-news-kpnx/
KNAZ - Flagstaff News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/knaz-flagstaff-news/
KBMT - 12NewsNow,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kbmt-12newsnow/
WTVG - 13 Action News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wtvg-13-action-news/
WVEC - 13NewsNow.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wvec-13newsnow/
WHAM - Rochester News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wham-rochester-news-bias/
WMAZ - Macon News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wmaz-macon-news-bias/
WFIE - Evansville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wfie-evansville-news-bias/
OneEighty,Least Biased,Mixed,United States,Medium Credibility,Website Only,No Data,No Data,https://mediabiasfactcheck.com/oneeighty/
1945 - 19fortyfive,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/1945-19fortyfive-com/
The 19th News,Left,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-19th-news/
2020 Conservative,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/2020-conservative-bias/
2020ElectionCenter.com,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/2020electioncenter-com-bias/
21st Century Wire,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/21st-century-wire/
24/7 Wall St,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/24-7-wall-st/
24jours.com,Questionable Sources,Low,Cameroon,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/24jours-com/
24ur.com,Least Biased,Mostly Factual,Slovenia,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/24ur-com/
WEEK - Peoria News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/week-peoria-news-bias/
2ndVote,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/2ndvote/
369 News,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/369news/
38 North,Least Biased,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/38-north/
KHBS/KHOG - Fort Smith News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/khbs-khog-fort-smith-news-bias/
4Chan,Questionable Sources,Very Low,United States,Low Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/4chan-bias/
KFSM Fort Smith-Fayetteville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kfsm-fort-smith-fayetteville-news-bias/
