veracity,Claim_by,Claim
FALSE,Claim via Social Media, “The CEO of FTX is the daughter of the chairman of the SEC.”
BLATANT LIE,Claim by The Highwire with Del Bigtree, Covid-19 vaccines are responsible for soaring RSV cases.
FALSE,Claim via Social Media, Billionaire Bill Gates is on the Maricopa County Board of Supervisors. 
FALSE,Claim via Social Media, It’s proof of “voter fraud” that it takes some states days to count 2 million votes while Florida results were available on election night.
TRUE,Claim via Social Media, Ted Cruz Book Cover Features Soviet-Era Stalingrad Statue.
BLATANT LIE,(International, A Malaysian Physician Was ‘Put To Death Under The Nuremberg Codes For Giving The Bioweapon Vaccine And Killing A Patient’ In 2022
FALSE,Claim via the Gateway Pundit, U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.
BLATANT LIE,Claim via Social Media," “if a human is injected with a GMO it becomes a patented piece of property from the government,” “they take away all your rights with mRNAs”"
FALSE,Claim via Social Media, Allegheny County has more Democratic Mail-In Ballot Applications than Philadelphia County
FALSE,Claim by Donald Trump (D), Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”
TRUE,Claim via Social Media, Does the oil and gas industry contribute much more to the GOP than to Democrats?
FALSE,(International," Video shows a woman being murdered by a Hat Man killer in Andheri, Mumbai."
FALSE,Claim by Mark Finchem (R), “We waited 24 hours and got a measly 62k votes” in Maricopa County.
BLATANT LIE,Claim via Rumble video," Large downticks in cumulative voting graphs for the 2022 Pennsylvania governor and Senate races shown by My Pillow CEO Mike Lindell on social media and on his Frank Speech website, prove election fraud."
FALSE,Claim by Donald Trump (R)," “Clark County, Nevada, has a corrupt voting system… Arizona even said ‘by the end of the week!’ – They want more time to cheat!”"
TRUE,Claim by Donald Trump (R), Donald Trump Got 1.1M More Votes in Florida Than DeSantis
BLATANT LIE,Claim by Kyle Becker, Pennsylvania Judge allows ballots to count that are received up until November 14th.
FALSE,(International," In Iran, 15,000 protesters were sentenced to death."
